Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
18	Unknown	248	0.551	0.615	0.708	115.07560	69230	481047	3176.504	21.79454	20.659	0.597	0.994	0.261		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	21.79454	115.07560 71910;116.07080 174934;117.07410 10513	null
19	Unknown	248	0.564	0.615	0.708	117.01846	611163	3814344	26622.600	22.95656	62.697	0.948	1.000	0.545		[M+CH3COO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	22.95656	117.01846 679896;118.01377 40867;118.02185 28410;118.02647 7282;119.00914 4987	54.24034 3776;56.88965 4088;64.28337 3660;71.26738 24048;73.02841 39079;74.34036 4071;95.79375 3951;99.92477 49888;111.26783 4395;116.92075 7983;116.92756 187227;117.01846 7468;117.03350 4800
20	Unknown	248	0.564	0.615	0.708	119.03411	1398327	8663632	53402.880	26.18450	93.147	0.937	1.000	0.545		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	26.18450	119.03411 1434152;120.03746 61702;121.02865 3333898	61.56087 5064;62.94440 4250;64.03316 4537;66.97238 4902;71.74948 4343;71.92026 17662;72.99182 33653;75.00770 14061;90.43803 5352;118.92603 4844;119.03381 17529;119.04922 20121
21	Unknown	248	0.524	0.615	0.708	119.04932	125486	1050117	2769.321	45.31277	27.781	0.653	0.995	0.461		[M-H2O-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	45.31277	119.04932 129879;119.05340 4166;120.04456 39439;120.05286 8940;121.04974 366970	61.56087 5064;62.94440 4250;64.03316 4537;66.97238 4902;71.74948 4343;71.92026 17662;72.99182 33653;75.00770 14061;90.43803 5352;118.92603 4844;119.03381 17529;119.04922 20121
22	Unknown	248	0.551	0.615	0.708	121.04973	348575	2408768	3580.650	97.34976	58.459	0.766	1.000	0.963		[M+HCOO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	97.34976	121.04974 366970;122.05316 10313;123.03979 7229;123.04420 83915;123.05556 7557	51.29445 9712;57.61979 11607;64.78347 9554;71.70167 51677;93.03332 13317;105.68364 12049;121.02853 577346;121.12318 10440
23	Unknown	248	0.551	0.615	0.708	122.03200	384264	2687500	9731.148	39.48799	47.955	0.582	0.998	0.249		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	39.48799	122.02389 41620;122.03200 245372;122.03646 126918;123.03183 7734;123.03539 5470;123.03979 7229;124.02705 9998;124.03951 54925	null
24	Unknown	248	0.564	0.615	0.708	127.01409	1005568	6294249	35844.080	28.05394	77.185	0.950	1.000	0.545		[M+Cl]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	28.05394	127.01409 1069798;128.01735 43689;129.01851 791347	57.44694 3386;63.06551 4462;71.73055 13861;71.73415 6874;97.68969 3536;110.35567 3897;126.90427 14711;127.01417 7440
25	Unknown	248	0.431	0.615	0.708	127.07564	194165	2641850	5101.165	38.06279	33.271	0.580	0.996	0.241		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	38.06279	127.07564 183481;128.07068 35668;128.07899 12645;128.08121 6540	null
26	Unknown	248	0.551	0.615	0.708	128.03448	2163209	15143462	39771.170	54.39139	111.567	0.653	0.998	0.461		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	54.39139	128.03448 2146699;129.02971 361048;129.03786 108050;130.02638 5508;130.03317 11669;130.03888 7491	72.52456 8010;72.52815 16750;110.92323 5664;111.41448 5783;119.97337 6376;128.03415 55723
27	Unknown	248	0.551	0.615	0.708	129.01851	747247	5128768	19726.190	37.88097	82.518	0.938	1.000	0.545		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	37.88097	129.01851 791347;130.01373 54395;130.02174 40987;130.02638 5508;131.02274 8284	53.79592 3135;67.74218 2941;73.14408 6186;85.02839 12301;85.81875 3697;107.01678 3037;111.01862 4094;118.56287 2802;129.01828 4554;129.02888 5513;129.03810 3716
28	Unknown	248	0.524	0.615	0.708	130.08649	233482	1917404	2679.941	87.12186	38.959	0.642	0.993	0.461		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	87.12186	130.08649 261726;131.08986 17534	null
29	Unknown	248	0.551	0.615	0.708	134.06033	792086	5485106	13405.490	59.08672	69.028	0.936	1.000	0.700		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	59.08672	134.06033 789898;135.05556 43929;135.06332 43198;135.06563 19835;136.05208 51700;136.06700 5575	55.48458 2761;56.86769 3641;73.13614 3658;73.13963 3450;76.97100 3090;82.23452 2779;95.51929 2887;112.12993 3120;121.77953 2948;127.02479 3009;134.02403 3994;134.04625 3809;134.05992 6106
30	Unknown	248	0.510	0.615	0.701	136.03964	216550	2046069	5169.904	41.88665	28.050	0.797	0.991	0.855		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	41.88665	136.03955 211439;136.04773 26480;137.03488 45324;137.04292 19422;138.03151 44726	58.68297 2024;71.17447 15223;77.85569 2112;92.04942 2860;93.03374 3067;108.02077 8411;114.32322 2244;118.02921 2590;136.01578 10549;136.03896 5044;136.04832 3613
31	Unknown	248	0.551	0.615	0.708	137.02364	594379	4184982	13029.870	45.61663	59.668	0.866	1.000	0.700		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	45.61663	137.01921 33970;137.02364 602456;138.01889 135202;138.02699 34561;138.03151 44726;139.01398 22528;139.02225 12653;139.02652 7289	72.52147 7537;93.03365 34594;95.52435 2689;109.02871 2620;113.17479 2209;122.03642 7278;129.89587 2075;137.02361 17438
32	Unknown	248	0.312	0.615	0.708	141.05496	94927	1602722	3433.917	27.64407	25.225	0.614	1.000	0.303		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	27.64407	141.05496 107729;142.05022 443950;143.04536 15601;143.05368 16878	null
33	Unknown	248	0.551	0.615	0.708	144.06587	634121	4334486	15427.740	41.10264	63.458	0.930	1.000	0.545		[M+HCOO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	41.10264	144.06587 671000;144.07353 19831;145.06918 30452	71.31093 14356;81.34569 2124;100.07572 5500;102.05494 4476;117.84373 2280;130.75908 2166;144.04471 41946;144.06554 3590
34	Unknown	248	0.510	0.615	0.708	149.04294	224219	2020861	1692.141	132.50630	37.850	0.593	0.998	0.249		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	132.50630	149.03462 31093;149.04294 196756;149.04764 7996;150.04668 7044;151.03941 3701801;151.05000 49564	null
35	Unknown	248	0.551	0.615	0.708	152.04259	340964	2365674	4288.244	79.51128	39.612	0.606	0.994	0.290		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	79.51128	152.03455 85253;152.04259 280630;153.03810 5103;153.04359 15390;154.04729 22696;154.05040 17576	null
36	Unknown	248	0.374	0.615	0.708	155.04552	69795	1133854	4522.653	15.43234	35.007	0.623	1.000	0.424		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	15.43234	155.04553 73965;156.03775 5754;157.04993 308135	null
37	Unknown	248	0.551	0.615	0.708	156.06593	488301	3370581	9474.657	51.53756	54.264	0.937	1.000	0.700		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	51.53756	156.06593 504077;157.06099 7040;157.06909 33896;158.06070 4830	50.32405 2277;50.68626 2017;52.90972 2376;54.01421 2294;55.27747 1993;72.07280 8193;74.02366 27644;76.48183 2176;84.04453 5619;86.46899 2250;87.50455 2061;96.04488 3853;97.85210 2260;99.92480 8883;108.14141 2553;110.06004 2363;112.03942 4490;112.07582 24673;114.05533 2973;115.92024 3559;126.05508 3081;129.69539 2439;156.06592 42713
38	Unknown	248	0.551	0.615	0.708	157.04997	313951	2185151	9075.445	34.59345	50.232	0.581	0.993	0.331		[M+HCOO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	34.59345	157.04993 308135;158.04523 19935;158.05338 35173;159.04012 5545	57.03331 2233;59.01263 2186;69.55143 2186;72.37225 7507;74.02306 2111;74.75808 2406;95.04916 6485;97.06469 3936;111.08062 3844;112.03124 2782;113.05984 26547;113.09588 3920;129.38185 2144;139.07526 4592;146.00436 2237;157.05032 15062;157.08629 34495;157.12259 19562
39	Unknown	248	0.551	0.615	0.708	158.08160	543692	3732936	10522.590	51.66908	58.771	0.937	1.000	0.545		[M+CH3COO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	51.66908	158.08160 524480;158.08928 23341;159.08484 40411	66.05075 2113;72.60282 3769;74.02358 67469;74.88902 2140;98.41359 2294;101.62641 2387;112.84818 1966;113.96371 3449;114.09148 25184;114.09869 3272;116.07071 44018;125.87174 2494;140.23605 2463;157.86259 3100;158.08098 40566;158.11742 5274
40	Unknown	248	0.551	0.615	0.708	159.06561	573859	3970227	12093.410	47.45221	57.551	0.642	0.990	0.461		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	47.45221	159.06561 629584;160.06079 200748;160.06880 33341;161.06053 9576;161.06430 17014;161.06998 6754	59.01264 6542;64.41650 2053;71.01288 2607;71.08369 1890;72.03423 5260;72.03806 4843;73.28436 1976;74.02357 4125;74.51569 2380;87.00684 2401;95.04912 6139;97.05834 4267;97.06480 84862;115.07552 49473;133.52650 2258;133.59558 2175;141.05478 6195;158.98672 3594;159.05362 4510;159.06570 59343;159.08498 3161;159.10208 7641
41	Unknown	248	0.551	0.615	0.708	160.06079	225780	1567926	9030.110	25.00298	36.336	0.647	0.994	0.425		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	25.00298	160.06079 200748;160.06880 33341;161.06053 9576;161.06430 17014;161.06998 6754;162.05553 38655	null
42	Unknown	248	0.564	0.615	0.708	171.06570	543608	3409996	10835.780	50.16786	55.565	0.578	0.993	0.249		[M+HCOO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	50.16786	171.06570 545041;172.06090 30808;172.06906 55424	59.01277 3452;60.96406 1911;72.28390 5229;72.28761 4746;81.03371 3011;109.06501 17284;112.45099 2534;125.05972 3283;126.88029 3496;127.06602 3752;127.07554 75554;127.11172 4607;135.77162 2201;153.05415 3132;161.68665 2263;171.01945 8305;171.04175 2837;171.06572 26834;171.10165 29624;171.13814 17303
43	Unknown	248	0.551	0.615	0.708	178.05035	22251311	154216587	253133.200	87.90356	360.506	0.583	0.991	0.241		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	87.90356	178.05035 22781850;179.04570 501677;179.05360 2191360;180.04257 13828;180.04886 44585;180.05457 109064;180.05748 27200	61.46188 67247;63.07387 79175;64.98723 68486;72.22970 128712;72.23374 165611;92.00453 78673;95.58218 100837;98.52342 96771;134.06023 2314025;148.59497 72418;148.75970 67326;149.11682 70212;166.81018 70973;178.05038 1571332
44	Unknown	248	0.551	0.615	0.708	179.04570	2630870	18228223	9261.028	284.07970	56.133	0.643	0.991	0.461		[M+Cl]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	284.07970	179.04570 501677;179.05360 2191360;180.04257 13828;180.04886 44585;180.05457 109064;181.05000 439220	55.70434 7642;60.44254 6899;71.86152 36600;82.07044 8423;108.98962 14975;134.06026 24964;135.05553 26567;135.06398 182008;135.08043 21703;158.98677 39281;178.88408 13233;178.99344 44279;179.05507 225873;179.07089 24083;182.75949 7985
45	Unknown	248	0.551	0.615	0.708	179.05360	2630870	18228223	35433.180	74.24878	123.570	0.932	1.000	0.545		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	74.24878	179.04570 501677;179.05360 2191360;180.04886 44585;180.05457 109064;180.05748 27200;181.05000 439220	55.70434 7642;60.44254 6899;71.86152 36600;82.07044 8423;108.98962 14975;134.06026 24964;135.05553 26567;135.06398 182008;135.08043 21703;158.98677 39281;178.88408 13233;178.99344 44279;179.05507 225873;179.07089 24083;182.75949 7985
46	Unknown	248	0.551	0.615	0.708	180.05457	172743	1182207	6460.236	26.73946	30.750	0.635	0.996	0.425		[M-H]-	2		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	26.73946	180.04886 44585;180.05457 109064;180.05748 27200;181.05000 439220;182.04521 62333;182.05325 39667	null
47	Unknown	248	0.551	0.615	0.708	185.08138	364700	2565893	8550.698	42.65151	45.403	0.638	0.997	0.461		[M+CH3COO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	42.65151	185.08138 358760;186.07661 18320;186.08456 23553	54.32643 2473;59.01265 4653;71.78805 2213;72.66231 7947;83.12062 2136;97.94048 2030;123.08053 14443;125.09655 2828;139.11182 2587;141.08105 4291;141.09142 53636;141.12750 6896;167.10764 3390;169.28934 2878;185.08189 22565;185.10155 4668;185.11780 50498;185.15355 4004
48	Unknown	248	0.564	0.615	0.708	187.09706	883594	5507457	16570.720	53.32261	72.019	0.646	0.996	0.461		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	53.32261	187.09706 947124;188.09215 69364;188.10045 85803;189.09604 7041	50.47128 3555;55.04259 3257;59.01256 5517;65.99724 3533;72.42776 6431;72.43169 9449;78.58416 3274;87.92399 7125;88.35445 2868;97.06465 6112;123.08083 2863;125.09631 163366;142.92747 3836;143.10745 5209;169.08636 9879;187.09705 118627;187.13327 12834
49	Unknown	248	0.396	0.615	0.708	188.10045	145984	2105909	5759.042	25.34868	31.752	0.630	1.000	0.425		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	25.34868	188.09215 69364;188.10045 85803;189.09604 7041	null
50	Unknown	248	0.396	0.615	0.708	193.05016	285681	4320314	6603.410	43.26258	55.268	0.589	0.993	0.331		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	43.26258	193.05016 285577;194.04549 203086;194.05273 39431;195.04060 6351;195.05063 65590	71.58022 8361;85.14117 2345;89.19154 2303;90.93243 5195;94.01157 2178;99.81709 2355;103.89621 2401;105.25152 2108;112.15453 2241;131.16136 2145;134.03645 27028;137.02353 6935;149.05975 9767;149.09615 3015;165.39908 2240;178.02666 45180;192.45569 2376;193.05025 23164
51	Unknown	248	0.418	0.615	0.708	194.04549	213650	2965564	7183.618	29.74123	35.539	0.594	0.997	0.261		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	29.74123	194.03799 7862;194.04549 203086;194.05273 39431;195.04060 6351;195.05063 65590	null
52	Unknown	248	0.551	0.615	0.708	197.08150	639558	4446454	11095.910	57.63910	63.282	0.648	0.998	0.461		[M+CH3COO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	57.63910	197.08150 652471;198.07747 8195;198.08482 78334	55.90444 1916;59.01270 7241;59.50499 2243;62.86990 2245;69.03349 2648;72.15565 9450;75.83682 2464;99.04443 4207;111.04424 4852;113.02392 3290;116.92762 3951;126.54982 2096;135.08089 17426;151.06030 5403;152.89435 7526;153.05504 2727;153.09146 61356;179.07080 3447;182.02130 7126;196.98354 4878;197.04405 3883;197.08165 54010;197.11780 10004;197.80807 3567
53	Unknown	248	0.564	0.615	0.708	198.11314	225428	1391612	6293.638	35.81836	35.978	0.637	0.987	0.461		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	35.81836	198.11314 229685;199.11624 21081	63.07075 2512;63.18599 2509;73.52975 3379;74.02365 55706;103.91927 4138;125.25954 2324;154.09462 3189;156.10152 3055;162.83803 7564;197.80736 15001;198.04073 3390;198.08432 5702;198.11263 17546
54	Unknown	248	0.551	0.615	0.708	199.09718	863381	5923989	11598.630	74.43814	72.383	0.643	0.995	0.461		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	74.43814	199.09718 890707;200.09254 17212;200.10057 93379	55.50197 2896;57.03333 4350;58.92076 2962;59.01266 6517;59.97863 3139;73.02791 3695;73.52605 3527;73.52990 5204;74.02341 3674;97.06477 4250;98.92285 2643;101.02319 3382;108.02434 3048;137.09624 38586;155.10707 66116;181.08664 20460;183.35612 3640;196.20732 3308;199.09705 112469;199.11569 7887;199.13269 16525;199.16982 7774;199.35161 3478
55	Unknown	248	0.551	0.615	0.708	201.11282	2078879	14362435	30087.710	69.09396	110.545	0.856	0.994	0.700		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	69.09396	201.11282 2174223;202.10829 67709;202.11613 223683;203.11136 11061;203.11707 16396	57.03337 27250;59.01265 16928;71.04911 10453;72.15505 14327;72.15910 14612;73.91506 7191;81.62563 7037;85.02837 10797;87.04404 123726;88.98689 18764;91.95588 7158;95.51601 7333;101.05991 9171;110.23267 7646;110.96896 33181;112.53843 7294;113.05993 70937;121.10140 31616;137.09662 10611;139.11230 66978;152.18269 7723;155.10703 33730;157.12282 22165;167.67009 7905;183.10217 19458;201.11301 180992;201.13176 9800;201.15157 7195
56	Unknown	248	0.418	0.615	0.708	202.11613	267722	3681921	6993.417	38.28206	40.074	0.639	1.000	0.461		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	38.28206	202.10829 67709;202.11613 223683;203.11136 11061;203.11707 16396	null
57	Unknown	248	0.431	0.615	0.708	213.11284	191741	2555669	5602.461	34.22437	33.799	0.659	1.000	0.461		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	34.22437	213.11284 194947;214.10835 15224;214.11607 24408	null
58	Unknown	248	0.386	0.615	0.708	227.90009	102859	1514192	3709.349	27.72953	21.355	0.627	0.997	0.377		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	27.72953	227.89420 23857;227.90010 97765;228.90558 5661;229.89903 37740	null
59	Unknown	248	0.551	0.615	0.708	245.09314	237865	1648272	3684.867	64.55188	39.212	0.577	0.994	0.249		[M+HCOO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	64.55188	245.09314 234973;245.10310 18564;246.09642 29579	54.99708 2303;55.55800 2184;55.86212 2221;61.75638 2073;73.52668 4409;77.43318 2233;112.09279 2490;162.74431 2070;169.30406 2510;216.56885 2199
60	Unknown	248	0.564	0.615	0.708	251.14008	335066	2063195	3007.519	111.39070	45.208	0.579	0.991	0.241		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	111.39070	251.14008 356593;252.14339 47641;253.14467 68091	73.52888 2966;73.53295 3078;80.02345 2417;80.04020 3004;101.27855 3081;109.03959 5104;116.63110 2318;127.05038 148526;160.99895 2985;162.87970 2494;219.92238 2395;251.14297 13385
61	Unknown	248	0.551	0.615	0.708	255.23302	559189	3873624	4044.238	138.26800	57.333	0.931	1.000	0.700		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	138.26800	255.23302 563665;256.23636 89143;257.23917 5499	null
62	Unknown	254	0.237	0.627	0.708	85.00335	159384	2984567	10742.180	14.83718	41.263	0.522	1.000	0.193		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	14.83718	85.00335 177947;85.99986 13459;87.00588 5188;87.00619 8109;87.00780 258196	null
63	Unknown	254	0.551	0.627	0.708	85.02849	141005	981252	4922.674	28.64392	33.534	0.544	0.998	0.193		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	28.64392	85.02849 143837;86.02378 59619;86.03184 9126;87.01904 85079	null
64	Unknown	254	0.588	0.627	0.708	86.02378	60736	298636	1159.878	52.36422	22.486	0.492	0.990	0.193		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	52.36422	86.02378 59619;86.03184 9126;87.01904 85079	null
65	Unknown	254	0.396	0.627	0.708	88.00306	272323	3904793	4659.031	58.45063	48.402	0.504	0.997	0.188		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	58.45063	88.00306 310939;89.00639 7207	51.68196 3314;63.61033 4138;69.31175 2870;72.57299 5355;72.57644 5822;82.33150 3307;87.92420 92262;88.00288 4409;88.03935 13657
66	Unknown	254	0.551	0.627	0.708	96.00822	83344	570272	3104.114	26.84951	27.735	0.547	0.997	0.331		[M-H2O-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	26.84951	96.00822 100818;97.00343 16988;97.01148 6316;98.00002 43060	null
